head,model,term,SS,df,F,p_value,eta_sq
head1,entropy ~ confirm_type,confirm_type,63.38254293070626,4.0,399.05707501081696,3.636114280049103e-298,0.24484927150544394
head1,entropy ~ diagnosis_1,diagnosis_1,5.416677490857436,1.0,105.27869923664811,1.8672299934894847e-24,0.02092483949510114
head1,entropy ~ diagnosis_1 + confirm_type,diagnosis_1,6.916153917204071,1.0,180.52842526317497,1.9039055931565745e-40,0.026563506180780034
head1,entropy ~ diagnosis_1 + confirm_type,confirm_type,64.88201935705071,4.0,423.3945962830135,5.535216036e-314,0.2491983178577447
head1,entropy ~ diagnosis_1 * confirm_type,diagnosis_1,,1.0,,,
head1,entropy ~ diagnosis_1 * confirm_type,confirm_type,0.21411736525215985,4.0,1.397767822214451,0.2371547900848601,0.0011322667569785825
head1,entropy ~ diagnosis_1 * confirm_type,diagnosis_1:confirm_type,0.43482424552081667,4.0,2.8385522958023732,0.09209050245883788,0.0022993793042040416
head2,entropy ~ confirm_type,confirm_type,134.00499396718794,4.0,421.98714168443587,4.399831722e-313,0.25532622886078254
head2,entropy ~ diagnosis_1,diagnosis_1,10.366242626577113,1.0,99.25535611395964,3.671495200862473e-23,0.01975130596959634
head2,entropy ~ diagnosis_1 + confirm_type,diagnosis_1,16.34323133198787,1.0,214.80242490141913,1.226149611578899e-47,0.03078892124219697
head2,entropy ~ diagnosis_1 + confirm_type,confirm_type,139.98198267259505,4.0,459.9529418293522,0.0,0.2637112669021302
head2,entropy ~ diagnosis_1 * confirm_type,diagnosis_1,,1.0,,,
head2,entropy ~ diagnosis_1 * confirm_type,confirm_type,0.060401304786778194,4.0,0.19860546763885303,0.6558684393809806,0.00016082836063931234
head2,entropy ~ diagnosis_1 * confirm_type,diagnosis_1:confirm_type,1.3510006374496741,4.0,4.4422237951358845,0.0351110000576055,0.003597260332549295
