model,skin_type,test_n,indet_n,test_h1_entropy,indet_h1_entropy,h1_ratio,h1_status,test_h2_entropy,indet_h2_entropy,h2_ratio,h2_status
ensemble,I,136,35,0.10757100972315672,0.29987765631682173,2.787718150908714,OK,0.19126002929737349,0.5203611559434544,2.720699969853034,OK
ensemble,II,255,217,0.19040385898341378,0.2823858807744287,1.483089062806377,OK,0.3275471149628707,0.5915434428947877,1.8059797075661692,OK
ensemble,III,160,108,0.10841407383821655,0.28349861838312307,2.6149614007327178,OK,0.21510733636152962,0.5360464389110229,2.491995149854363,OK
ensemble,IV,119,13,0.05539423241022274,0.29014464715888383,5.2378132981465235,OK,0.10358413872666829,0.4661132921464566,4.499851983868002,OK
ensemble,V,114,3,0.006596970401829532,0.1431514466938365,21.699573891393605,OK,0.02375600641445761,0.3485154732659423,14.670625490900697,OK
dropout,I,136,35,0.05816459406735862,0.2593150108149809,4.458296580127013,OK,0.09615522314433711,0.37162464298368086,3.86484093979836,OK
dropout,II,255,217,0.08531250281257129,0.19866782165055755,2.3287069901937363,OK,0.15010628488713737,0.3627805196080532,2.4168243180545192,OK
dropout,III,160,108,0.06058631982077774,0.20749867951879888,3.4248437622982735,OK,0.10789149759885297,0.3278128926031349,3.0383570522114987,OK
dropout,IV,119,13,0.010823234690630608,0.272070094676139,25.13759540959257,OK,0.017235464054159183,0.3599349428489603,20.88339146064956,OK
dropout,V,114,3,0.00657065787425488,0.12589461599509158,19.160123446446857,OK,0.0077522424829835155,0.558018930803687,71.9816146139083,OK
dropconnect,I,136,35,0.044980929872404915,0.08988240737059505,1.9982336431363212,OK,0.059456674900008215,0.14686821369265898,2.4701720023808242,OK
dropconnect,II,255,217,0.0451220491536704,0.08827473126976307,1.9563546630856516,OK,0.07721841893309055,0.20161951434528272,2.6110287821353246,OK
dropconnect,III,160,108,0.02720292286321792,0.08859331706236546,3.2567572796434963,OK,0.05088892598412824,0.1484227418776722,2.916601971988244,OK
dropconnect,IV,119,13,0.012552470447861435,0.19769654530027198,15.749612486357499,OK,0.012676894253899488,0.26167953862133725,20.642243548008068,OK
dropconnect,V,114,3,0.00027465106431863115,0.0034290966791975653,12.485284510746935,OK,0.004274445765805812,0.0017970404993668959,0.42041485559195546,OVERCONFIDENT
flipout,I,136,35,0.19822808654356242,0.2892090693140481,1.458971200080125,OK,0.487402535914908,0.7318523200108723,1.5015357247518322,OK
flipout,II,255,217,0.2797367383017221,0.31390658499989593,1.1221500147088956,OK,0.5826518307533405,0.717252237583714,1.2310134452960386,OK
flipout,III,160,108,0.20410601947440776,0.3519511534258265,1.7243545993015488,OK,0.457876486850206,0.7538773970029057,1.6464645349861264,OK
flipout,IV,119,13,0.11205127919423225,0.4084129759711809,3.644875622198195,OK,0.3217890941651965,0.977716738898551,3.0383774858343138,OK
flipout,V,114,3,0.034463464624538115,0.3591802384585834,10.42205832674309,OK,0.12084880911093449,0.9064976969398852,7.5010892007033,OK
duq,I,136,35,0.09082727760112001,0.25689202946386436,2.828357694392643,OK,0.2220335128122806,0.3499052186356362,1.5759117360425918,OK
duq,II,255,217,0.14950587228429968,0.2514016035537046,1.6815500268487145,OK,0.2778866256239992,0.42138372441540933,1.5163872081615477,OK
duq,III,160,108,0.09484875436920838,0.23567602785460362,2.4847561723078706,OK,0.23422240791594096,0.41011875239417683,1.7509800024827793,OK
duq,IV,119,13,0.05398439102960846,0.24460622163087914,4.531054569027584,OK,0.14288585853343447,0.3225758054585693,2.257576843289138,OK
duq,V,114,3,0.008480083921949245,0.036593868914336865,4.31527202456333,OK,0.05535648031418531,0.1832257718731871,3.3099245261486536,OK
