attribution,total,pct_contact_polarized,pct_contact_non_polarized,pct_non_contact_polarized,pct_not_specified
Andreas Syggros Hospital Athens,1801,100.0,0.0,0.0,0.0
Anonymous,19456,6.4,25.1,5.1,63.4
Dr. Julien Anriot,7,0.0,0.0,0.0,100.0
Hospital Clínic Barcelona,18290,0.0,0.0,0.0,100.0
Hospital Italiano Buenos Aires,1280,100.0,0.0,0.0,0.0
Imperial College London,12333,0.0,0.0,0.0,100.0
International Dermoscopy Society,666,0.0,0.0,0.0,100.0
Konstantinos Liopyris,1,0.0,0.0,0.0,100.0
MILK Study,16959,0.0,0.0,0.0,100.0
Medical University of Vienna,5794,94.3,0.0,0.0,5.7
Memorial Sloan Kettering,5232,21.0,12.1,13.3,53.6
Royal Prince Alfred Hospital Sydney,620,0.0,0.0,0.0,100.0
University Hospital Basel,245,0.0,100.0,0.0,0.0
University of Queensland,182,0.0,94.5,0.0,5.5
Total,82866,13.1,7.2,2.0,77.7
