category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
85.0,238,0.35287254167749577,0.35915079517626175,0.21627655357749898,8.76312276339632e-05,1.2824145706730063
75.0,341,0.33733872634257295,0.3609365204379404,0.1887802262593482,1.135795497597576e-08,1.4985212012274869
80.0,271,0.323782335764003,0.3259822160090073,0.2357930602539802,6.411677743889958e-06,1.1748767707306702
70.0,459,0.3129859789151612,0.3541399126946111,0.1377645128986948,8.604989498503924e-07,1.520515383851083
20.0,74,0.3106560839412395,0.31827655252021625,0.16168240812416967,1.5564509345371045e-05,1.168167882028254
5.0,22,0.3049843666852565,0.3106391543431867,0.2061225091157047,6.294672469408416e-05,1.0152979077363231
65.0,454,0.30452707334184437,0.33740932526478995,0.14739064820209175,9.217407527819232e-07,1.38128310697462
60.0,447,0.29834023576788415,0.35217239598829175,0.1199278943285468,2.813765902959965e-07,1.3262580141983478
30.0,211,0.28760314610334553,0.32642657334393016,0.1505803752357632,8.72546267195756e-08,1.5521932065353117
55.0,396,0.2752262473656378,0.34290903776047915,0.0887169183109211,1.1395252234506876e-08,1.4116601520123144
25.0,102,0.2714895858175144,0.29339912532136647,0.1255366468611943,5.844688429066117e-08,1.2538732906718262
35.0,256,0.2615328794864169,0.2997237753489059,0.12867353861913644,3.532495014913969e-07,1.1501354611858456
50.0,452,0.25826818531788903,0.32323738892703335,0.07384035541733365,4.73032238875247e-07,1.475017316000533
45.0,403,0.2549203734659662,0.31309120774035015,0.0947227953014225,7.221870633130531e-09,1.3252163248926925
40.0,382,0.22552398904145174,0.30063079912724977,0.0443185593128606,1.1214629333832048e-08,1.186530545261602
10.0,121,0.03533840393139922,0.12372674875319374,5.495938126932797e-06,7.030553854108743e-10,0.6932259498041464
0.0,6,0.02651423726092415,0.02891120815082553,0.0227358466612304,4.880249191040113e-07,0.0811763404023169
15.0,474,0.018208927463060944,0.08677730186439309,2.4034808254254292e-06,1.063095760381493e-11,0.6959523684245746
