category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Royal Prince Alfred Hospital Sydney,54,0.5315876598310096,0.15105709239528872,0.5763455250813438,0.2243387010310727,0.693114438924864
University of Queensland,22,0.4142288787759261,0.20923634969532692,0.42833616867103097,0.0636070786778994,0.6750671971779023
Hospital Clínic Barcelona,1147,0.4015295383948309,0.21238218679718376,0.4089835204883724,0.0032388457905283,0.693139408692601
University Hospital Basel,22,0.36282618616571505,0.234010094770086,0.323563115023774,0.0139420556045408,0.6901522423329006
International Dermoscopy Society,39,0.3596328004343985,0.24443012772014677,0.3185336240483666,0.0151285438293689,0.693113462050514
Federal University of Espírito Santo,175,0.3239385912005991,0.19743800050850027,0.2866236108366932,0.0090880035015318,0.693147119672931
MILK Study,1289,0.303299409382495,0.24502761869014836,0.245827521581581,9.228387402382928e-09,0.6931471671106102
Hospital Italiano Buenos Aires,153,0.2685849318834818,0.2260061355047583,0.2114222014719003,2.747043930040953e-05,0.69296558653932
Anonymous,1133,0.24575908656364537,0.2698967652359016,0.1029401778477506,1.0717696351811628e-11,0.6931449336738931
Memorial Sloan Kettering,736,0.19776187421052055,0.23264708782018248,0.0582276835688157,7.447397077008525e-12,0.6931410491320367
Imperial College London,720,0.13665937698049152,0.19630166350588868,0.03916556738145535,4.143219960177782e-09,0.6931272162350459
Andreas Syggros Hospital Athens,90,0.11899783660849958,0.16682399911163556,0.04143052200356135,8.014827146676385e-06,0.6626018760801897
Medical University of Vienna,340,0.07168183733243355,0.13919088950727299,0.01176742127434495,3.4168094481304624e-09,0.6847257239699769
