category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Royal Prince Alfred Hospital Sydney,54,0.9348876677499954,0.27050232644663086,0.9779409652574031,0.2337341645186406,1.3942488033873062
Federal University of Espírito Santo,175,0.9010210105845491,0.3374418569725669,0.9323301020015454,0.0133820433308383,1.5821708072543528
University of Queensland,22,0.8632434587461824,0.44121793454610697,1.047925252674603,0.061402839796186,1.4949136865417474
Hospital Clínic Barcelona,1147,0.7401132557740443,0.3763723819121956,0.779850597661953,0.0001695818612673,1.5482387250458025
International Dermoscopy Society,39,0.7235640199904896,0.3756670308905564,0.7402578620293737,0.0419827041134679,1.5853350140141935
University Hospital Basel,22,0.6489638880168114,0.37885629540637267,0.6720630953693094,0.1151491653693425,1.3545346828407283
MILK Study,1289,0.6417233992559813,0.4464541038569119,0.6857588939564333,0.0014082579642596,1.5581772248595849
Hospital Italiano Buenos Aires,153,0.6164514813924432,0.4321975054008746,0.6414538778232733,0.0138064499409713,1.492458697619346
Anonymous,1133,0.5142924718922629,0.5394334932746663,0.2684509005703608,1.588936209951999e-05,1.5986362326499588
Memorial Sloan Kettering,736,0.4960833442456701,0.5065368602837093,0.2447806856152736,0.0011915562739593,1.5586151200482694
Imperial College London,720,0.3477064074137713,0.3697971924008976,0.18024518376038115,0.0031800281271856,1.4801123598328896
Andreas Syggros Hospital Athens,90,0.27558829970412324,0.305211569132278,0.14311788778358442,0.0093558367563065,1.4366018481192002
Medical University of Vienna,340,0.22753392314840068,0.2809561616072582,0.1028545839564244,0.0027053715129902,1.4707986974458378
