category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Royal Prince Alfred Hospital Sydney,54,0.47928553698206355,0.18159576425973414,0.507883932169748,0.0006730534685911,0.6931382029999724
University of Queensland,22,0.3156011538371413,0.2519659924983008,0.3099335981367174,0.0052273662840578,0.6930502524457665
University Hospital Basel,22,0.25542669809676855,0.2775139520510267,0.0891262932349535,0.0012021855727199,0.6931182178859472
Hospital Clínic Barcelona,1147,0.24881370946947223,0.24496814259080799,0.146314233314193,1.9212336574520612e-05,0.6931452259236741
MILK Study,1289,0.19544305430785022,0.23036417031366366,0.0840156351780856,2.6037477650308486e-09,0.6931424429914046
Hospital Italiano Buenos Aires,153,0.17456008962233224,0.2313426825954929,0.0472791390619034,1.7766935176813125e-07,0.6924285514677531
Federal University of Espírito Santo,175,0.16200082158695794,0.1994364639670098,0.0599056071676613,5.584868162418232e-05,0.688922266408381
Anonymous,1133,0.15651282167344074,0.23095023422659516,0.0034476613241736,7.653147464159584e-12,0.6931467264091857
International Dermoscopy Society,39,0.13124774451084498,0.1846347230904729,0.033707243923189,0.0001795996871799,0.6931209925079997
Memorial Sloan Kettering,736,0.1144133781680893,0.19990612017679887,0.0040807994674537,2.4956215819448476e-07,0.6931279495848885
Imperial College London,720,0.04261756819758396,0.11422312961209218,0.0011471627596688,3.296099334258405e-09,0.6893943238210567
Medical University of Vienna,340,0.04226165318379032,0.1243747634585171,0.0010270942547834,2.16523434236612e-08,0.6782865580607863
Andreas Syggros Hospital Athens,90,0.025973266587897545,0.05904994457182141,0.0011781967212387999,4.374360763527878e-08,0.3831423634946088
