category,n_samples,mean_entropy,std_entropy,median_entropy,min_entropy,max_entropy
Royal Prince Alfred Hospital Sydney,54,0.5264381610739675,0.16848956354914346,0.5797321059575085,0.1305267383439601,0.6929183014808578
University of Queensland,22,0.43206079679806886,0.20745461407742147,0.48344656370968775,0.0219873392486097,0.6870026797633197
University Hospital Basel,22,0.41356757534606264,0.22281509205831102,0.4461823145068086,0.0473373172195228,0.6922938481503934
Hospital Clínic Barcelona,1147,0.3816153868730746,0.22082932007473968,0.4011490069982225,0.000434978844119,0.6931342293753225
MILK Study,1289,0.28251347254699266,0.24704602010535617,0.2059650158588594,0.0002365887379947,0.6931389698520543
Hospital Italiano Buenos Aires,153,0.2692205430057898,0.24127937497101837,0.2090686455412331,1.913464778821358e-06,0.6929204035985942
Federal University of Espírito Santo,175,0.2673155160008032,0.20674886413972324,0.1943843562780529,0.0022576533156935,0.6931438507286399
International Dermoscopy Society,39,0.2668735882936447,0.20711848511553743,0.2050367671912208,0.0195183823673258,0.6908749690472459
Anonymous,1133,0.2320909044502467,0.2641590688217145,0.0689848590169983,3.56489994195358e-14,0.6931470413305992
Andreas Syggros Hospital Athens,90,0.1994745804645599,0.2036317390511092,0.10484242586736195,0.0002088734316419,0.6927657187948524
Memorial Sloan Kettering,736,0.19616234741993357,0.24564157821902746,0.0399473819465391,1.5252013766803963e-06,0.6931160017907128
Imperial College London,720,0.1499983605689146,0.1906580129700543,0.057607118635378304,2.4436905055597823e-05,0.6929403562327544
Medical University of Vienna,340,0.09334711183712824,0.14979691284057842,0.027037484695318498,0.0001055877612578,0.6931044394068941
