model,skin_type,dataset,n_samples,h1_mean_entropy,h1_std_entropy,h2_mean_entropy,h2_std_entropy,h1_mean_confidence,h2_mean_confidence
ensemble,I,test_indeterminate_set,35,0.29987765631682173,0.24683693808739698,0.5203611559434544,0.3214773127188135,0.8640237144061498,0.7847437110677168
ensemble,II,test_indeterminate_set,217,0.2823858807744287,0.25007851790917207,0.5915434428947877,0.37054730345565995,0.8689799811402217,0.7503541465535389
ensemble,III,test_indeterminate_set,108,0.28349861838312307,0.2359094757477102,0.5360464389110229,0.36015383212377106,0.8787236493400036,0.7830574196224439
ensemble,IV,test_indeterminate_set,13,0.29014464715888383,0.24342984735485088,0.4661132921464566,0.4054655084419014,0.8727214656675538,0.7978706586243528
ensemble,V,test_indeterminate_set,3,0.1431514466938365,0.08824437100893313,0.3485154732659423,0.3651698980251275,0.9654103438059489,0.8448157571109619
dropout,I,test_indeterminate_set,35,0.2593150108149809,0.28079387060827965,0.37162464298368086,0.37499626613164705,0.876329858516856,0.8320382207880411
dropout,II,test_indeterminate_set,217,0.19866782165055755,0.2510513679095502,0.3627805196080532,0.3347581754229462,0.9091317524012718,0.8436681808222051
dropout,III,test_indeterminate_set,108,0.20749867951879888,0.24135877157979985,0.3278128926031349,0.34494418031657315,0.912018281242903,0.8596128933085266
dropout,IV,test_indeterminate_set,13,0.272070094676139,0.2630969215730461,0.3599349428489603,0.285477871987032,0.8791590548340221,0.8433278627207191
dropout,V,test_indeterminate_set,3,0.12589461599509158,0.18254075348950868,0.558018930803687,0.4775343896384741,0.9628496289253236,0.7651024453566978
dropconnect,I,test_indeterminate_set,35,0.08988240737059505,0.18420403660553022,0.14686821369265898,0.2458477623511487,0.9623769537217302,0.9448811312212434
dropconnect,II,test_indeterminate_set,217,0.08827473126976307,0.1840248079564254,0.20161951434528272,0.2762056053247559,0.9602451710214451,0.9151542930431555
dropconnect,III,test_indeterminate_set,108,0.08859331706236546,0.18574132883497227,0.1484227418776722,0.24212552608401197,0.961848121606545,0.9356163755414602
dropconnect,IV,test_indeterminate_set,13,0.19769654530027198,0.26965203405982097,0.26167953862133725,0.27724184664635304,0.9104653200993664,0.8858740402520147
dropconnect,V,test_indeterminate_set,3,0.0034290966791975653,0.005800573234551419,0.0017970404993668959,0.002634239363029241,0.9995529850323995,0.9997942432664043
flipout,I,test_indeterminate_set,35,0.2892090693140481,0.21704888872560973,0.7318523200108723,0.31254590430603013,0.8764295998215675,0.7120746927534247
flipout,II,test_indeterminate_set,217,0.31390658499989593,0.21194981312048392,0.717252237583714,0.42674304371007343,0.8709951262217238,0.7259591791590616
flipout,III,test_indeterminate_set,108,0.3519511534258265,0.21403867708294796,0.7538773970029057,0.4275589038894803,0.8508129690265007,0.711447732767128
flipout,IV,test_indeterminate_set,13,0.4084129759711809,0.22848034201670056,0.977716738898551,0.32290484563163724,0.8134909322628606,0.6136895796727554
flipout,V,test_indeterminate_set,3,0.3591802384585834,0.1387927847276211,0.9064976969398852,0.2948858419486913,0.8755211989084879,0.5928776239343824
duq,I,test_indeterminate_set,35,0.25689202946386436,0.23035667691111233,0.3499052186356362,0.2916567378458965,0.8906341965709413,0.8764232274394258
duq,II,test_indeterminate_set,217,0.2514016035537046,0.2498140578401125,0.42138372441540933,0.36429926183227124,0.8867457316608015,0.8339516615591009
duq,III,test_indeterminate_set,108,0.23567602785460362,0.22623625499292313,0.41011875239417683,0.34967936087618884,0.9044740750907317,0.8378758608505592
duq,IV,test_indeterminate_set,13,0.24460622163087914,0.2547137948643565,0.3225758054585693,0.29943455926810886,0.8947573699630224,0.8725338974249064
duq,V,test_indeterminate_set,3,0.036593868914336865,0.03034855674459419,0.1832257718731871,0.17024985698425515,0.99357670545578,0.9514119240323763
