model,isic_id,head1_entropy_original,head1_entropy_black,head1_entropy_diff,head2_entropy_original,head2_entropy_black,head2_entropy_diff
ensemble,ISIC_8184620,0.06747731683013684,0.04581638056205732,-0.021660936268079523,0.1350655472797268,0.10591897287979994,-0.029146574399926864
ensemble,ISIC_9543045,0.2681134467174313,0.6654168043557465,0.39730335763831515,0.18483882613299327,0.5690719445650494,0.3842331184320561
ensemble,ISIC_6586433,0.6118002746888367,0.6108672065742597,-0.0009330681145769404,0.48320993223533154,0.6874212970668323,0.20421136483150076
ensemble,ISIC_7576704,0.2764091625413767,0.5765824502916257,0.300173287750249,0.17120890473203457,0.4453890179478813,0.2741801132158468
ensemble,ISIC_1727295,0.6676793908551923,0.5570711582804558,-0.11060823257473651,0.3866526293656878,0.8894106685236342,0.5027580391579464
dropout,ISIC_8184620,0.32420505649355236,0.0020798661822540162,-0.3221251903112983,0.31476366186678184,0.0016667863517052242,-0.3130968755150766
dropout,ISIC_9543045,0.6816507607870671,0.3405773301903646,-0.3410734305967025,0.6843733043222844,0.3279865535376343,-0.3563867507846501
dropout,ISIC_6586433,0.04300243828834217,0.16115086708761434,0.11814842879927218,0.1177697749519824,0.2235623533425724,0.10579257839059
dropout,ISIC_7576704,0.6909026388610439,0.07675860136159506,-0.6141440374994488,0.6920191737310905,0.24704477921018106,-0.44497439452090937
dropout,ISIC_1727295,0.01403874652172954,0.03496055464531253,0.02092180812358299,0.008179639132851312,0.04454318170190434,0.036363542569053026
dropconnect,ISIC_8184620,0.42500105817835687,0.010164231975320891,-0.41483682620303597,0.13458841616211437,0.03712748000063367,-0.09746093616148069
dropconnect,ISIC_9543045,0.015310249508558953,3.731809834104223e-05,-0.015272931410217912,0.029376355081338467,3.949742205270433e-05,-0.029336857659285762
dropconnect,ISIC_6586433,0.17623779276069443,0.2680577486551796,0.09181995589448519,0.3506783505027556,0.9233988280820299,0.5727204775792742
dropconnect,ISIC_7576704,0.5531796671093241,3.715859971429459e-05,-0.5531425085096098,0.34046276484351934,6.0043549722519086e-05,-0.34040272129379684
dropconnect,ISIC_1727295,0.018984467784259412,0.0004410495842536702,-0.018543418200005744,0.053048111034459416,0.0008381652932253331,-0.05220994574123408
flipout,ISIC_8184620,0.46828432401239,0.11741837945627372,-0.3508659445561163,0.9303471246511583,0.2420575372572195,-0.6882895873939388
flipout,ISIC_9543045,0.6914544445786761,0.6924769691658792,0.0010225245872030886,0.7614057579179544,0.774592018348625,0.013186260430670615
flipout,ISIC_6586433,0.6626915519614694,0.5504441691826262,-0.11224738277884327,0.9071113923255624,0.7549810817291341,-0.15213031059642823
flipout,ISIC_7576704,0.5515469438444409,0.692602970683605,0.14105602683916407,0.45921212758949553,0.690207538274222,0.23099541068472645
flipout,ISIC_1727295,0.4647792733142274,0.20390403740353394,-0.2608752359106935,0.9440247065448584,0.7589303110813165,-0.1850943954635419
duq,ISIC_8184620,0.00019613630770424882,0.00019761735744306506,1.481049738816237e-06,0.012200326388571388,0.001459374458448573,-0.010740951930122814
duq,ISIC_9543045,0.38584847962512486,0.6603032231769768,0.2744547435518519,0.12076883642489437,0.4417364719135959,0.3209676354887015
duq,ISIC_6586433,0.57121699052341,0.5585430813705724,-0.012673909152837615,0.1408272071621685,0.6920737902516187,0.5512465830894502
duq,ISIC_7576704,0.6763625370576594,0.5783383911865948,-0.09802414587106456,0.30763345975869044,0.27559710846122715,-0.032036351297463295
duq,ISIC_1727295,0.29263217625157817,0.3129189631148201,0.020286786863241923,0.07531082091617529,0.04418903310009598,-0.031121787816079306
