run_type,head,term,SS,df,F,p_value,eta_sq,partial_eta_sq
dropconnect,head1,diagnosis_1,0.014320742426330522,1.0,0.7781922096017158,0.37775372364963455,0.00020137754373525133,0.00021696134187832716
dropconnect,head1,diagnosis_2,0.302453969951851,4.0,4.108853371087955,0.00252407229531192,0.004253092175576954,0.004562306217297352
dropconnect,head1,diagnosis_confirm_type,1.7601658402362492,4.0,23.91194715506598,1.5133704580901762e-19,0.02475136155104322,0.025979614051052105
dropconnect,head1,attribution,1.6813214927635214,10.0,9.136336989755884,4.629245939904251e-15,0.02364265639045924,0.02484480338425299
dropconnect,head1,image_type,0.8749975810959721,2.0,23.773777949433647,5.533881331818994e-11,0.01230417099964161,0.013085711736915738
dropconnect,head1,sex,0.019408599389830982,1.0,1.0546674463383363,0.30450384165205957,0.00027292272677703237,0.0002940204552525443
dropconnect,head1,anatom_site_general,0.2899677302137448,7.0,2.2509869348008564,0.027667386881399293,0.0040775113143273175,0.004374784013387901
dropconnect,head1,age_approx,0.17962082184811137,1.0,9.760633917097435,0.0017971180739745573,0.002525818762089716,0.002714483779879568
dropconnect,head1,Model (total),5.122256777925614,30.0,11.016004931159998,9.8758573844716e-50,0.08438192853066429,0.08438192853066429
dropconnect,head2,diagnosis_1,0.01743180348436878,1.0,0.6491411312115104,0.4204733360226708,0.00016791208883569036,0.00018098818860402233
dropconnect,head2,diagnosis_2,0.5351358430747365,4.0,4.981967110242733,0.0005278096958986859,0.005154703430548739,0.00552641904331458
dropconnect,head2,diagnosis_confirm_type,2.9052712675444963,4.0,27.04727423615779,3.8273031001954303e-22,0.027985065779633812,0.02928629101150008
dropconnect,head2,attribution,1.8148046885439064,10.0,6.758132453166551,1.6568997598223468e-10,0.01748113133305244,0.01849728212641563
dropconnect,head2,image_type,1.0127468199918541,2.0,18.85678716347053,7.134529377168379e-09,0.009755297789986121,0.010407437992376612
dropconnect,head2,sex,0.06514505133499306,1.0,2.425929844513768,0.11943065173710951,0.0006275106105214942,0.0006760428923271333
dropconnect,head2,anatom_site_general,0.5888963335930117,7.0,3.132835685710636,0.0026660687196179023,0.005672552101103655,0.006078236194417764
dropconnect,head2,age_approx,0.5784677626616577,1.0,21.54150132315913,3.5864654823852393e-06,0.00557209874696706,0.005971241443863702
dropconnect,head2,Model (total),7.5178995702290194,30.0,11.549599593240961,1.200305559131987e-52,0.0881091026526728,0.0881091026526728
dropout,head1,diagnosis_1,0.021904702031486565,1.0,0.6925586433468653,0.4053508675380063,0.00018266087560429487,0.00019309116463799255
dropout,head1,diagnosis_2,0.5175543455797996,4.0,4.090865227449699,0.002605944661530899,0.0043158281633104804,0.004542423630309116
dropout,head1,diagnosis_confirm_type,2.9885194751408393,4.0,23.62192590367279,2.63205545981118e-19,0.024920931738995532,0.02567260407415371
dropout,head1,attribution,1.5388110729463091,10.0,4.865242665775286,5.291539035021423e-07,0.012831974503461517,0.013385716417041624
dropout,head1,image_type,0.3645700950711202,2.0,5.763287035001903,0.0031699346916100515,0.0030401095020196685,0.0032040274985275234
dropout,head1,sex,0.04668120433223096,1.0,1.4759146915423091,0.22449478800068756,0.00038926937446268637,0.0004114075541240842
dropout,head1,anatom_site_general,0.7636098038299145,7.0,3.4489957519925065,0.001103565587079433,0.006367657281395582,0.006687538544265017
dropout,head1,age_approx,0.25802746581642855,1.0,8.158027048949908,0.004311758028566801,0.0021516623585309514,0.0022698019918863193
dropout,head1,Model (total),6.499678164748133,30.0,13.095745760394594,4.32929123273675e-61,0.09873962670840786,0.09873962670840786
dropout,head2,diagnosis_1,0.1381194973831454,1.0,2.8259924515838692,0.0928366271155426,0.0007281765227223115,0.0007874420374595506
dropout,head2,diagnosis_2,2.1299047465605274,4.0,10.894723139043236,8.84547649648623e-09,0.011229020243085908,0.01200659741700283
dropout,head2,diagnosis_confirm_type,5.948219161655258,4.0,30.42586812449469,6.138794934444249e-25,0.031359465011005026,0.03282448917523167
dropout,head2,attribution,1.9348954368163909,10.0,3.9588906726751873,2.146520656238441e-05,0.010200916291374804,0.010919303800080707
dropout,head2,image_type,0.9174535918308675,2.0,9.385774544198878,8.59887406839709e-05,0.004836885297991388,0.005207417122770193
dropout,head2,sex,0.11394635909040364,1.0,2.331398222378996,0.1268761384495875,0.0006007338942824961,0.0006497165293969075
dropout,head2,anatom_site_general,2.0255491724460977,7.0,5.9205323548467925,7.297620552414773e-07,0.01067884969855706,0.011425050147945051
dropout,head2,age_approx,1.2058751373056695,1.0,24.672794935860615,7.110756669096361e-07,0.006357465679770746,0.006833295714434544
dropout,head2,Model (total),14.41396310308835,30.0,18.235205337235147,6.371356288919415e-89,0.132361172682822,0.132361172682822
duq,head1,diagnosis_1,0.019899464281054095,1.0,0.4683051438218556,0.4938121384667383,0.0001145199457597758,0.00013057557016472117
duq,head1,diagnosis_2,3.691135372732431,4.0,21.716384637037017,9.994684466241078e-18,0.0212422111825272,0.023650617654379275
duq,head1,diagnosis_confirm_type,12.037346378664175,4.0,70.82038927626868,8.251215070929862e-58,0.06927403848196628,0.07321296031943997
duq,head1,attribution,2.58560457636832,10.0,6.084846837587702,3.0375237122291168e-09,0.014879963181915529,0.01668521982844433
duq,head1,image_type,1.042273484376907,2.0,12.264200360095796,4.918795820541785e-06,0.005998206846771116,0.0067935764513855955
duq,head1,sex,0.0012705308237886514,1.0,0.029900107448165313,0.862726839993578,7.311810959902499e-06,8.337941478756052e-06
duq,head1,anatom_site_general,1.3213787581607657,7.0,4.442391446492919,6.259113649740203e-05,0.007604437062999918,0.008597154668407323
duq,head1,age_approx,0.6871038654965508,1.0,16.1699968404813,5.9096053634104006e-05,0.003954231947988358,0.004488959947660509
duq,head1,Model (total),21.386012430904003,30.0,32.04813919324474,1.7354414562152475e-160,0.21142517392833393,0.21142517392833393
duq,head2,diagnosis_1,0.20391755148426802,1.0,2.6617538312188738,0.10287515094268451,0.0006418519715417194,0.0007417120959859792
duq,head2,diagnosis_2,0.8046510485283761,4.0,2.6257953222088446,0.03292460087450767,0.0025327239275962704,0.0029203870424692573
duq,head2,diagnosis_confirm_type,32.70874015898976,4.0,106.73751940284845,4.880781941495943e-86,0.10295420479935032,0.10639306977512289
duq,head2,attribution,3.95948562890029,10.0,5.168351603709062,1.4911135966079806e-07,0.012462898061998465,0.01420780994532336
duq,head2,image_type,1.478467386096314,2.0,9.649282763130916,6.616155168194308e-05,0.004653631821875139,0.005352834217613497
duq,head2,sex,0.01663422740554909,1.0,0.217128041229458,0.6412652748251366,5.2357982810266716e-05,6.054514645298458e-05
duq,head2,anatom_site_general,2.4941857353889136,7.0,4.650975279413418,3.3762331868226394e-05,0.007850712309941181,0.008997185483827903
duq,head2,age_approx,1.3115013825257225,1.0,17.11914351745249,3.591271667159439e-05,0.004128088739427458,0.004751201066512712
duq,head2,Model (total),42.977583119319206,30.0,26.762360382389435,1.0005140686439152e-133,0.18293334344067036,0.18293334344067036
ensemble,head1,diagnosis_1,0.06658196227335504,1.0,1.632984972484261,0.2013733955373627,0.0003613794340647195,0.00045517057606626546
ensemble,head1,diagnosis_2,5.008659235397771,4.0,30.710514471320227,3.5714158874240635e-25,0.02718493685241564,0.033121404462104105
ensemble,head1,diagnosis_confirm_type,26.298489408552225,4.0,161.24876970015404,4.396254810961614e-127,0.14273735550480846,0.15244524438999266
ensemble,head1,attribution,3.7784508249089797,10.0,9.267004464385263,2.58440993246196e-15,0.02050787291520561,0.025191181464828658
ensemble,head1,image_type,1.4258614671806,2.0,17.48529383371801,2.773457481562235e-08,0.007738988045274551,0.009657793903806174
ensemble,head1,sex,0.04252076149960158,1.0,1.0428614924619564,0.30722578403512324,0.00023078515865364025,0.00029073014533984487
ensemble,head1,anatom_site_general,1.071612644190842,7.0,3.75461479471265,0.0004629584845950886,0.005816271519670402,0.007275816604107851
ensemble,head1,age_approx,0.3391780835505731,1.0,8.318660107374868,0.003947369726760345,0.0018409187668191249,0.0023143913753952915
ensemble,head1,Model (total),38.03135438755396,30.0,49.03623160680503,2.8742706149559418e-241,0.2908961153469106,0.2908961153469106
ensemble,head2,diagnosis_1,0.20463894953111345,1.0,2.600563861604061,0.1069136965092035,0.0005521027084322419,0.0007246735364734099
ensemble,head2,diagnosis_2,2.3751909712505386,4.0,7.546016799826358,4.745061452304968e-06,0.006408112293753986,0.008346938827890655
ensemble,head2,diagnosis_confirm_type,65.37693670707583,4.0,207.70349360710037,1.8402259519784525e-160,0.1763827653908668,0.1881025506707967
ensemble,head2,attribution,8.439531713447451,10.0,10.72500676588741,3.7486319635400484e-18,0.022769313112534842,0.029039481674431867
ensemble,head2,image_type,4.912574727585877,2.0,31.214644947263224,3.633309779955258e-14,0.013253810277517935,0.017111278562378616
ensemble,head2,sex,0.08163352558991549,1.0,1.0374036664617816,0.30849479024418075,0.00022024199537934287,0.0002892090462735091
ensemble,head2,anatom_site_general,5.4724079426863455,7.0,9.934811924201998,2.434725783625812e-12,0.014764204242281252,0.01902416972443652
ensemble,head2,age_approx,1.6077152943347117,1.0,20.430940951245017,6.38185232207377e-06,0.004337512337821976,0.005665141322754978
