isic_id,h1_correct_dropconnect,h2_correct_dropconnect,h1_correct_dropout,h2_correct_dropout,h1_correct_duq,h2_correct_duq,h1_correct_ensemble,h2_correct_ensemble,h1_correct_flipout,h2_correct_flipout,h1_tier,h2_tier
ISIC_0000070,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0000087,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000097,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000102,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000103,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000106,1,1,1,1,0,1,1,1,1,0,1,1
ISIC_0000124,1,1,1,1,1,1,1,1,0,0,1,1
ISIC_0000149,0,1,1,1,0,1,0,0,1,1,3,1
ISIC_0000151,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0000161,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000162,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000195,1,1,1,1,1,1,1,1,0,0,1,1
ISIC_0000250,1,1,0,0,0,0,1,1,1,1,2,2
ISIC_0000266,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000275,1,1,1,1,1,1,1,1,0,0,1,1
ISIC_0000279,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000296,0,0,0,0,1,0,1,0,1,0,2,5
ISIC_0000321,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000343,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0000348,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000359,1,1,1,1,1,1,1,1,0,0,1,1
ISIC_0000379,1,1,1,1,1,1,1,1,0,0,1,1
ISIC_0000385,1,1,0,0,0,0,0,0,1,0,3,4
ISIC_0000420,0,0,0,0,0,1,0,0,0,1,5,3
ISIC_0000424,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000476,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000493,1,1,1,1,1,1,1,1,1,0,0,1
ISIC_0000504,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000507,1,1,0,0,1,1,1,0,1,0,1,3
ISIC_0000527,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000574,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000575,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000583,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000587,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000620,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000653,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000657,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000671,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000703,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000710,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000714,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000758,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000760,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000775,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000783,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000784,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000786,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000790,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000792,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000822,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000823,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000854,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000856,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000882,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000888,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000904,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000922,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000925,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000930,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000951,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000981,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0000982,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001005,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001027,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001034,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001062,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001072,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001091,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001124,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001136,0,0,0,0,0,0,1,1,1,1,3,3
ISIC_0001141,0,0,0,0,0,0,0,1,1,1,4,3
ISIC_0001148,1,1,0,1,1,1,1,1,1,1,1,0
ISIC_0001167,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001175,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001201,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001223,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001248,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001250,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001257,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001320,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001324,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001345,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001350,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001366,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001370,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001392,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001415,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001426,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001432,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001437,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001447,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001454,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001465,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001479,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001482,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001522,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001572,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001583,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001604,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001624,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001642,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001672,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001686,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001694,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001716,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001738,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001740,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001749,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001763,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001803,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001826,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001868,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001912,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001927,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001958,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001968,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001985,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0001996,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002011,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002013,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002042,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002061,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002074,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002088,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002099,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002109,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002213,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002214,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002222,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002247,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002261,1,1,1,1,1,1,1,1,1,1,0,0
ISIC_0002269,1,1,1,1,1,1,1,1,1,1,0,0
