isic_id,h1_correct_dropconnect,h2_correct_dropconnect,h1_correct_dropout,h2_correct_dropout,h1_correct_duq,h2_correct_duq,h1_correct_ensemble,h2_correct_ensemble,h1_correct_flipout,h2_correct_flipout,h1_tier,h2_tier
ISIC_0009959,1,0,1,1,1,0,1,0,1,0,0,4
ISIC_0010027,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0010083,1,0,0,0,1,0,1,0,1,0,1,5
ISIC_0010325,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0010454,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0010512,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0010566,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0010713,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0010859,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0010889,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0011011,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0011054,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0011307,1,1,1,0,1,1,0,0,0,0,2,3
ISIC_0011332,1,0,0,1,0,0,0,0,0,0,4,4
ISIC_0011355,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0011417,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0011418,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0011444,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0011445,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0011472,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0011477,0,0,0,0,1,1,0,1,0,0,4,3
ISIC_0011552,1,0,1,0,1,1,1,0,1,1,0,3
ISIC_0011609,0,1,1,1,0,0,0,0,0,0,4,3
ISIC_0011632,1,0,0,0,0,0,1,1,0,0,3,4
ISIC_0011633,0,0,0,0,0,1,0,1,0,0,5,3
ISIC_0011634,0,0,0,0,0,1,0,0,0,0,5,4
ISIC_0011650,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0011686,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0011720,1,0,1,0,1,1,1,1,0,1,1,2
ISIC_0011909,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0011910,1,0,1,1,1,1,1,1,1,0,0,2
ISIC_0011963,1,0,1,0,0,1,0,1,0,0,3,3
ISIC_0012029,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012093,1,0,1,0,1,0,1,1,0,0,1,4
ISIC_0012104,1,0,1,0,1,1,1,0,1,1,0,3
ISIC_0012106,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012114,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0012115,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012119,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012124,1,0,1,0,1,0,0,0,0,1,2,4
ISIC_0012131,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012132,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0012138,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012153,0,0,1,0,0,0,1,0,0,0,3,5
ISIC_0012166,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012174,0,0,1,0,0,0,1,0,0,0,3,5
ISIC_0012176,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012184,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012188,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012190,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012195,1,1,0,0,1,1,1,1,1,0,1,2
ISIC_0012198,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0012218,1,0,1,0,1,0,0,0,0,0,2,5
ISIC_0012239,0,0,1,0,1,0,1,0,0,0,2,5
ISIC_0012262,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012267,0,0,0,0,0,0,1,0,0,0,4,5
ISIC_0012280,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012289,1,0,1,0,1,0,1,0,1,1,0,4
ISIC_0012295,0,0,1,0,1,0,1,0,1,0,1,5
ISIC_0012308,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012310,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012312,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012317,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012319,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0012340,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012347,0,0,0,0,0,0,0,0,1,1,4,4
ISIC_0012350,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0012352,0,0,1,0,1,0,1,0,0,0,2,5
ISIC_0012355,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012365,0,0,1,0,1,0,1,0,0,0,2,5
ISIC_0012366,0,0,1,0,0,0,0,0,1,1,3,4
ISIC_0012403,0,0,1,0,1,0,0,0,1,0,2,5
ISIC_0012404,0,0,1,0,1,0,0,0,0,0,3,5
ISIC_0012410,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012438,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012439,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0012441,0,0,1,0,0,0,1,0,1,0,2,5
ISIC_0012462,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012463,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012470,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012477,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0012483,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012485,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012490,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012491,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012515,0,0,0,0,0,1,0,1,0,0,5,3
ISIC_0012525,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0012541,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012542,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012590,1,0,1,0,1,0,0,0,0,0,2,5
ISIC_0012667,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012714,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012717,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012747,0,0,0,0,0,0,0,0,1,1,4,4
ISIC_0012755,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012766,0,0,0,0,1,0,0,0,1,1,3,4
ISIC_0012769,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012771,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012778,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012779,1,0,1,0,0,0,0,0,0,1,3,4
ISIC_0012783,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0012797,1,1,1,0,1,1,1,1,1,1,0,1
ISIC_0012798,1,0,0,0,0,0,1,0,0,0,3,5
ISIC_0012799,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012815,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012838,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0012858,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012859,1,0,0,0,1,0,1,0,1,0,1,5
ISIC_0012860,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0012867,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012882,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0012934,1,0,1,0,0,0,1,0,1,0,1,5
ISIC_0012938,0,0,1,0,0,0,1,0,0,0,3,5
ISIC_0012942,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0012947,1,0,0,0,1,0,1,0,1,0,1,5
ISIC_0012953,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0012958,1,1,1,1,0,1,1,1,1,1,1,0
ISIC_0012972,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0012975,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0012993,0,0,1,0,0,0,0,0,0,1,4,4
ISIC_0013020,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013038,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013057,0,0,1,0,1,0,0,0,0,0,3,5
ISIC_0013078,1,0,0,0,1,0,0,0,0,0,3,5
ISIC_0013123,1,0,1,0,1,0,0,0,0,0,2,5
ISIC_0013144,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013148,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013149,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0013162,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013171,1,0,0,0,1,0,0,0,0,0,3,5
ISIC_0013179,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013210,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013218,1,0,1,0,1,0,1,0,1,1,0,4
ISIC_0013228,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013240,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0013255,1,0,1,0,1,0,0,0,0,0,2,5
ISIC_0013264,0,0,1,0,1,0,1,0,1,1,1,4
ISIC_0013272,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013276,1,0,0,0,0,1,0,0,1,0,3,4
ISIC_0013284,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013300,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013313,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013324,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013327,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013328,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013351,1,0,0,0,0,0,0,0,0,0,4,5
ISIC_0013358,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013362,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013372,1,1,0,0,1,0,1,0,0,0,2,4
ISIC_0013373,1,1,0,1,1,1,1,0,0,0,2,2
ISIC_0013384,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013387,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0013396,1,0,0,0,1,0,0,0,0,0,3,5
ISIC_0013404,1,0,1,0,0,0,0,0,1,0,2,5
ISIC_0013408,1,0,1,0,0,1,0,1,1,0,2,3
ISIC_0013418,0,0,0,0,1,0,0,0,1,0,3,5
ISIC_0013419,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0013420,1,0,0,0,0,0,0,0,1,0,3,5
ISIC_0013431,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013439,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013441,1,0,1,0,1,1,1,0,0,0,1,4
ISIC_0013451,0,0,1,0,0,0,0,0,0,0,4,5
ISIC_0013482,1,0,1,0,1,0,1,0,1,0,0,5
ISIC_0013506,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013510,1,0,1,0,1,1,1,1,0,1,1,2
ISIC_0013514,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0013519,1,0,1,0,0,0,0,0,0,0,3,5
ISIC_0013521,1,0,0,0,1,0,0,0,0,0,3,5
ISIC_0013522,1,0,1,0,1,0,1,0,0,0,1,5
ISIC_0013531,0,0,0,0,0,0,0,0,0,0,5,5
ISIC_0013546,1,0,1,0,0,0,1,0,0,0,2,5
ISIC_0013547,1,1,1,0,1,1,1,1,0,0,1,2
ISIC_0013551,1,0,1,0,1,0,1,0,1,0,0,5
