label,count
Benign melanocytic proliferations,49856
Malignant adnexal epithelial proliferations - Follicular,12145
Malignant melanocytic proliferations (Melanoma),11125
Benign epidermal proliferations,6775
Malignant epidermal proliferations,3328
Indeterminate epidermal proliferations,2823
Benign - Other,2498
Benign soft tissue proliferations - Fibro-histiocytic,1444
Benign soft tissue proliferations - Vascular,854
Indeterminate melanocytic proliferations,466
Flat melanotic pigmentations - not melanocytic nevus,309
Inflammatory or infectious diseases,200
Collision - Only benign proliferations,74
Collision - At least one malignant proliferation,73
Benign soft tissue proliferations - Neural,26
Exogenous,19
Malignant soft tissue proliferations - Vascular,16
Benign adnexal epithelial proliferations - Sebaceous,13
Benign adnexal epithelial proliferations - Follicular,11
Hemorrhagic lesions,11
Malignant adnexal epithelial proliferations - Apocrine or Eccrine,9
Cysts,6
Mast cell proliferations,4
Malignant soft tissue proliferations - Fibro-histiocytic,4
Benign adnexal epithelial proliferations - Apocrine or Eccrine,3
